avatar_subtle,x1,y1,z1,x2,y2,z2,x3,y3,z3,x4,y4,z4,x5,y5,z5,x6,y6,z6,x7,y7,z7,x8,y8,z8,x9,y9,z9,z1,z2,human_annotation,subtle_super_clusters,subtle_sub_clusters,Corrlation,moving,moving2,cca,ccf
1,8.8824,8.3421,0.62545,8.6498,7.7503,1.4324,4.2646,4.0611,0.47018,7.4143,5.1563,0.64085,4.6017,3.0617,0.28591,4.235,5.9583,-1,13.877,6.875,0.12453,7.5533,7.6817,-1,0.34641,1.352,-0.068432,0.2616913,7.06996,walking,4,82,na,False,False,,
2,8.8824,8.3263,0.62469,8.655,7.7371,1.4332,4.2655,4.0622,0.47114,7.4155,5.1496,0.64729,4.6017,3.0617,0.28521,4.235,5.9675,-1,13.877,6.875,0.12453,7.5533,7.6817,-1,0.36885,1.3497,-0.066568,0.2623562,7.0692725,walking,4,82,na,False,False,,
3,8.8824,8.3106,0.62393,8.6603,7.7239,1.434,4.2665,4.0633,0.47209,7.4168,5.1429,0.65372,4.6017,3.0617,0.28451,4.235,5.9767,-1,13.877,6.875,0.12453,7.5533,7.6817,-1,0.39129,1.3473,-0.064705,0.25807494,7.089028,walking,4,82,na,False,False,,
4,8.8824,8.3023,0.62469,8.6688,7.7182,1.4417,4.2677,4.0676,0.47281,7.417,5.1218,0.65705,4.6017,3.0617,0.28414,4.235,5.9767,-1,13.877,6.875,0.12062,7.5533,7.6817,-1,0.39659,1.3442,-0.06377,0.2714751,7.0063453,walking,4,82,na,False,False,,
5,8.8824,8.294,0.62545,8.6774,7.7125,1.4494,4.2689,4.072,0.47353,7.4172,5.1006,0.66037,4.6017,3.0617,0.28376,4.235,5.9767,-1,13.877,6.875,0.11671,7.5533,7.6817,-1,0.40189,1.3411,-0.064705,0.28174683,6.9208145,walking,4,82,na,False,False,,
6,8.8824,8.2717,0.62857,8.697,7.6903,1.4534,4.2689,4.0734,0.47353,7.4204,5.1147,0.66232,4.6017,3.0617,0.28376,4.235,5.9675,-1,13.877,6.875,0.11422,7.5533,7.6817,-1,0.40598,1.3396,-0.066568,0.29302308,6.846113,walking,4,82,na,False,False,,
7,8.8824,8.2627,0.6317,8.7166,7.6682,1.4574,4.2689,4.0749,0.47353,7.4172,5.1287,0.66428,4.6017,3.0617,0.28376,4.235,5.9583,-1,13.877,6.875,0.11671,7.5533,7.6817,-1,0.41006,1.338,-0.068432,0.31412637,6.7408533,walking,4,82,na,False,False,,
8,8.8824,8.2784,0.63276,8.697,7.6601,1.4637,4.2707,4.078,0.47353,7.417,5.1358,0.66627,4.6017,3.0617,0.28376,4.235,5.9583,-1,13.877,6.875,0.12062,7.5533,7.6817,-1,0.4211,1.3376,-0.072173,0.32755885,6.650537,walking,4,82,na,False,False,,
9,8.8824,8.294,0.63382,8.6774,7.6682,1.47,4.2725,4.081,0.47353,7.4168,5.1429,0.66827,4.6017,3.0617,0.28376,4.235,5.9583,-1,13.877,6.875,0.12453,7.5533,7.6817,-1,0.43214,1.3372,-0.075914,0.34168485,6.634417,walking,4,82,na,False,False,,
10,8.8824,8.2994,0.63562,8.6688,7.6903,1.4704,4.2764,4.0901,0.47381,7.4156,5.1496,0.67118,4.6017,3.0617,0.28316,4.235,5.9583,-1,13.877,6.875,0.12453,7.5533,7.6817,-1,0.43214,1.3361,-0.076855,4.7520614,1.2496014,walking,0,77,na,False,False,,
11,8.8824,8.3047,0.63742,8.6603,7.6682,1.4708,4.2803,4.0993,0.47408,7.4145,5.1563,0.6741,4.6017,3.0617,0.28256,4.235,5.9583,-1,13.877,6.875,0.12453,7.5533,7.6817,-1,0.43214,1.3351,-0.077795,4.740064,1.2518975,walking,0,77,na,False,False,,
12,8.8824,8.3076,0.63837,8.6688,7.6601,1.4704,4.2833,4.0993,0.47514,7.4144,5.1678,0.68203,4.6108,3.0617,0.28256,4.235,5.9675,-0.23181,13.877,6.875,0.12453,7.5533,7.6817,-1,0.43214,1.3349,-0.079336,4.751744,1.2468671,walking,0,77,na,False,False,,
13,8.8824,8.3106,0.63931,8.6603,7.6682,1.47,4.2843,4.0993,0.47621,7.4143,5.1793,0.68997,4.62,3.0617,0.28256,4.235,5.9583,0.53637,13.877,6.875,0.12453,7.5533,7.6817,-1,0.43214,1.3347,-0.080876,4.7272367,1.2345022,walking,0,77,na,False,False,,
14,8.8824,8.3263,0.63975,8.655,7.6903,1.4637,4.2853,4.0993,0.47585,7.4135,5.1807,0.69535,4.62,3.0617,0.28256,4.235,5.9675,0.53701,13.877,6.875,0.13124,7.5533,7.6817,-1,0.43214,1.3278,-0.082215,4.74793,1.2483144,walking,0,77,na,False,False,,
15,8.8824,8.3421,0.6402,8.6498,7.6984,1.4574,4.2863,4.0993,0.47549,7.4126,5.182,0.70059,4.62,3.0617,0.28256,4.235,5.9767,0.53765,13.877,6.875,0.13795,7.5533,7.6817,-1,0.43214,1.3208,-0.083553,4.736361,1.2376015,walking,0,77,na,False,False,,
16,8.8824,8.3972,0.64351,8.6468,7.6833,1.4534,4.2863,4.0993,0.47549,7.4043,5.2061,0.70066,4.62,3.0617,0.28145,4.235,5.9767,0.53863,13.877,6.875,0.13965,7.5533,7.6817,-1,0.43214,1.3179,-0.084557,4.719621,1.2254815,walking,0,77,na,False,False,,
17,8.8824,8.3972,0.65222,8.6353,7.6601,1.4534,4.2863,4.0993,0.47585,7.3842,5.2061,0.70436,4.62,3.0617,0.28145,4.235,5.9767,0.54836,13.877,6.875,0.14238,7.5533,7.6817,-1,0.43214,1.3164,-0.082215,4.6573005,1.1873429,walking,0,77,na,False,False,,
18,8.8824,8.3263,0.66408,8.6353,7.6475,1.4637,4.2863,4.0993,0.47683,7.3719,5.2061,0.70994,4.62,3.0617,0.28145,4.235,5.9767,0.5582,13.877,6.875,0.14623,7.5533,7.6817,-1,0.43214,1.3149,-0.079336,4.4965525,1.0981681,walking,0,77,na,False,False,,
19,8.8824,8.3972,0.70986,8.6468,7.6367,1.4704,4.2863,4.0993,0.47744,7.3719,5.2303,0.71338,4.62,3.0617,0.28145,4.235,5.9767,0.56025,13.877,6.875,0.14907,7.5533,7.6817,-1,0.43214,1.3133,-0.081419,4.383341,0.99784255,walking,0,77,na,False,False,,
20,8.8824,8.3972,0.8122,8.655,7.5585,1.4815,4.2863,4.0993,0.47744,7.3719,5.2303,0.71607,4.62,3.0617,0.28135,4.2442,5.9767,0.56123,13.877,6.875,0.15186,7.5533,7.6817,-1,0.43214,1.3096,-0.081419,4.3958983,1.0063848,walking,0,77,na,False,False,,
21,8.8824,8.3263,0.91901,8.6688,7.4692,1.497,4.2863,4.1016,0.47744,7.3719,5.2303,0.72231,4.62,3.0617,0.27113,4.2442,5.9767,0.56123,13.877,6.875,0.28409,7.5533,7.6817,-0.23697,0.43214,1.3075,-0.082757,4.39461,1.0319825,walking,0,77,na,False,False,,
22,8.8824,8.3076,0.99084,8.6884,7.4478,1.5019,4.2863,4.1038,0.47744,7.3708,5.2154,0.72852,4.62,3.0617,0.25678,4.2442,5.9767,0.56123,13.877,6.875,0.42549,7.5533,7.6817,0.5338,0.43214,1.3075,-0.084557,4.3292,0.9914345,walking,0,77,na,False,False,,
23,8.8286,8.2902,1.0859,8.708,7.4263,1.506,4.2863,4.1051,0.47744,7.3056,5.1913,0.73073,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.43744,7.5533,7.6908,0.54144,0.43214,1.3075,-0.087034,-1.954555,-0.7356652,walking,0,55,na,False,False,,
24,8.6804,8.2692,1.2084,8.7299,7.4064,1.506,4.2863,4.1066,0.47744,7.2167,5.1807,0.73734,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.44015,7.5533,7.7,0.54436,0.43214,1.3075,-0.092911,-2.0630789,-1.2675712,walking,0,43,na,False,False,,
25,8.4864,8.2692,1.3286,8.7299,7.4001,1.5114,4.2863,4.1066,0.47744,7.1444,5.1807,0.74435,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.44385,7.5533,7.7,0.54436,0.43214,1.3075,-0.092911,4.145677,0.74585456,walking,0,77,na,False,False,,
26,8.341,8.2692,1.3286,8.7504,7.3869,1.5114,4.2863,4.1093,0.47806,7.0953,5.1807,0.74435,4.62,3.0617,0.25143,4.2442,5.9767,0.56186,13.877,6.875,0.44657,7.5533,7.7,0.54436,0.43214,1.3075,-0.092911,3.661711,0.64500964,walking,4,67,na,False,False,,
