,z1,z2,y,y_
0,-4.122722,13.504867,na,1
1,-4.1261363,13.506518,na,1
2,-4.0672097,13.462732,na,1
3,-3.993793,13.444776,na,1
4,-3.8803115,13.399145,na,1
5,-3.7250738,13.331415,na,1
6,-3.6596859,13.302224,na,1
7,-3.4904816,13.221361,na,1
8,-3.4422154,13.183727,na,1
9,-3.2988448,13.098229,na,1
10,-1.1318531,11.791625,na,1
11,-0.7961766,11.675675,na,1
12,-0.5423851,11.690197,na,1
13,-0.19468445,11.80233,na,1
14,-0.13912709,11.888728,na,1
15,0.07004272,12.017184,na,1
16,0.2800059,12.022634,na,1
17,0.31301817,12.120709,na,1
18,0.33328524,12.015477,na,1
19,0.48956677,12.18638,na,1
20,0.57745904,12.092964,na,1
21,0.98975,11.850334,na,1
22,1.4462852,11.613774,rearing,1
23,1.5579944,11.581466,rearing,1
24,1.7906176,11.384676,rearing,1
25,2.0198812,11.331771,rearing,1
26,1.7966728,11.257495,rearing,1
27,1.6968305,10.242766,rearing,3
28,1.5275828,9.740865,rearing,3
29,1.6000936,9.439085,rearing,3
30,1.5082566,9.253325,rearing,3
31,1.3688765,9.115457,rearing,3
32,1.3412182,9.070845,rearing,3
33,1.3777238,9.133752,rearing,3
34,1.3477846,9.10635,rearing,3
35,1.4430552,9.225231,rearing,3
36,1.3711554,9.2239685,rearing,3
37,1.4513932,9.429974,rearing,3
38,1.5381691,9.773279,rearing,3
39,1.6128932,11.202424,rearing,1
40,1.6992053,11.262574,rearing,1
41,1.718162,11.276704,rearing,1
42,1.686251,11.291745,rearing,1
43,1.7614149,11.26265,rearing,1
44,1.724832,11.28733,rearing,1
45,1.7450235,11.263638,rearing,1
46,1.7321157,11.250977,rearing,1
47,1.6665604,11.209808,na,1
48,1.7018597,11.011015,na,1
49,1.7583425,10.5558,na,3
50,1.781685,10.408816,na,3
51,1.7701223,10.38576,na,3
52,1.7545817,10.286347,na,3
53,1.7604225,10.335233,na,3
54,1.7241724,10.401651,na,3
55,1.7393928,10.483179,standing,3
56,1.7591721,10.565603,na,3
57,1.7169807,10.911688,na,1
58,1.6828637,11.231552,na,1
59,1.7669612,11.188696,na,1
60,1.6687876,11.226877,na,1
61,1.7315485,11.244061,na,1
62,1.6722956,11.234109,na,1
63,1.6341511,11.266228,na,1
64,1.7077547,11.237437,na,1
65,1.7296848,11.1776495,na,1
66,1.7025117,11.176271,na,1
67,1.7760584,11.147565,na,1
68,1.7484676,11.098952,na,1
69,1.7859648,11.060921,na,1
70,1.6091304,11.166603,na,1
71,1.519091,11.433697,na,1
72,0.9858654,11.87164,na,1
73,0.8276679,11.98632,na,1
74,0.9024925,11.925974,na,1
75,0.68342084,12.082502,na,1
76,0.84469754,11.973162,na,1
77,0.8342716,12.061532,na,1
78,0.84394485,12.106252,na,1
79,0.8993857,12.093937,na,1
80,0.9389518,12.23241,na,1
81,0.88787514,12.158543,na,1
82,0.9107158,12.042182,na,1
83,0.9988688,11.631075,na,1
84,1.258499,11.125696,na,1
85,0.88616395,10.532638,na,1
86,0.75115037,10.108872,na,1
87,0.55181366,9.907235,na,1
88,0.57685834,9.818942,na,1
89,0.53440225,9.767135,na,1
90,0.5358886,9.827796,na,1
91,0.4957111,9.886941,na,1
92,0.58197516,9.86705,na,1
93,0.51759845,10.089479,na,1
94,0.21778235,10.8292055,walking,1
95,0.18011753,11.046684,walking,1
96,0.25099725,11.357169,walking,1
97,0.2266227,11.756106,walking,1
98,0.24632211,11.785851,walking,1
99,0.19815755,11.920776,walking,1
100,0.23648861,11.837187,walking,1
101,0.2928931,11.729669,walking,1
102,0.35127917,11.611485,walking,1
103,0.5015591,11.4779215,walking,1
104,0.8456693,11.596862,walking,1
105,0.99618775,11.437384,walking,1
106,1.0879081,11.574456,walking,1
107,1.1102718,11.594057,walking,1
108,1.4490521,11.659858,walking,1
109,1.5118413,11.680515,walking,1
110,1.5897299,11.721529,walking,1
111,1.6194223,11.632654,walking,1
112,1.5369269,11.654853,walking,1
113,1.4848748,11.626601,walking,1
114,1.1200988,11.5134325,walking,1
115,0.663852,10.899787,walking,1
116,0.42955852,10.766831,walking,1
117,0.3623004,10.701854,walking,1
118,0.15175073,10.5248375,walking,1
119,0.102225676,10.473509,walking,1
120,-0.01664066,10.577575,walking,1
121,0.03206742,10.505327,walking,1
122,0.083075374,10.573577,walking,1
123,0.048188522,10.763207,walking,1
124,-0.011964621,10.80368,walking,1
125,-0.0060348306,10.847991,walking,1
126,0.10515456,10.76407,walking,1
127,0.3063025,10.726046,walking,1
128,0.4105072,10.709856,walking,1
129,0.31576565,10.63006,walking,1
130,0.40067327,10.602207,walking,1
131,0.42982337,10.538516,walking,1
132,0.431762,10.609954,walking,1
133,0.4777248,10.606851,walking,1
134,0.401435,10.657976,walking,1
135,0.2736911,10.641964,walking,1
136,0.32334423,10.594554,walking,1
137,0.1911811,10.568398,walking,1
138,0.12852024,10.587454,walking,1
139,-0.14532985,10.518569,walking,1
140,-0.3629837,10.613507,walking,1
141,-0.6354592,10.61473,walking,1
142,-0.86311096,10.439751,walking,1
143,-0.9950245,10.429079,walking,1
144,-1.3116283,10.103402,walking,1
145,-1.2895007,10.013073,walking,1
146,-1.3299268,9.9849615,walking,1
147,-1.423139,9.930209,walking,1
148,-1.390032,9.904555,walking,1
149,-1.2995175,9.931312,walking,1
150,-1.0635955,9.920057,walking,1
151,-0.26119974,9.714341,walking,1
152,0.062991686,9.415953,walking,1
153,0.09146392,9.313272,walking,1
154,0.5775124,9.004734,walking,1
155,0.71945715,8.812697,walking,0
156,0.8355026,8.760406,walking,3
157,0.83831894,8.721409,walking,3
158,0.7812181,8.695403,na,0
159,0.63438225,8.439469,na,0
160,0.5173704,8.297068,na,0
161,0.54970914,8.200188,na,0
162,0.4855445,8.1037655,na,0
163,0.4211664,8.071053,na,0
164,0.10858862,7.7591324,na,0
165,-0.2718566,7.5403028,na,0
166,-0.53434396,7.598292,na,0
167,-0.7956867,7.7138853,na,0
168,-0.9545446,7.765033,na,0
169,-0.79387885,7.665075,na,0
170,-0.7465518,7.767967,na,0
171,-0.070077226,8.048407,na,0
172,0.2524835,8.214495,na,0
173,0.39704996,8.289597,walking,0
174,0.44376093,8.302564,walking,0
175,0.9669321,8.673648,walking,3
176,1.312024,8.695564,walking,3
177,1.6131372,9.1890335,walking,3
178,1.7928073,9.491928,walking,3
179,1.8349048,9.603295,walking,3
180,1.9624844,9.69111,walking,3
181,1.8633981,9.683517,na,3
182,1.8631223,9.695479,na,3
183,1.7847482,9.669865,na,3
184,1.5736443,9.685867,walking,3
185,1.5585777,9.706569,walking,3
186,1.5972793,9.677535,walking,3
187,1.5891373,9.587826,walking,3
188,1.5706925,9.592738,walking,3
189,1.5882237,9.643071,walking,3
190,1.6451772,9.59625,walking,3
